probe_id,query,entrezgene,name,symbol,alias,taxid,HGNC,gene,gene_unique
221848_at,ZGPAT,84619,zinc finger CCCH-type and G-patch domain containing,ZGPAT,"GPATC6, GPATCH6, KIAA1847, ZC3H9, ZC3HDC9",9606,HGNC:15948,ZGPAT,ZGPAT
212124_at,ZMIZ1,57178,zinc finger MIZ-type containing 1,ZMIZ1,"MIZ, NEDDFSA, RAI17, TRAFIP10, ZIMP10",9606,HGNC:16493,ZMIZ1,ZMIZ1
202778_s_at,ZMYM2,7750,zinc finger MYM-type containing 2,ZMYM2,"FIM, MYM, NECRC, RAMP, SCLL",9606,HGNC:12989,ZMYM2,ZMYM2
214741_at,ZNF131,7690,zinc finger protein 131,ZNF131,"ZBTB35, pHZ-10",9606,HGNC:12915,ZNF131,ZNF131
204937_s_at,ZNF274,10782,zinc finger protein 274,ZNF274,"HFB101, ZF2, ZKSCAN19, ZSCAN51",9606,HGNC:13068,ZNF274,ZNF274
203521_s_at,ZNF318,24149,zinc finger protein 318,ZNF318,"HRIHFB2436, TZF, ZFP318",9606,HGNC:13578,ZNF318,ZNF318
218149_s_at,ZNF395,55893,zinc finger protein 395,ZNF395,"HDBP-2, HDBP2, HDRF-2, PBF, PRF-1",9606,HGNC:18737,ZNF395,ZNF395
212557_at,ZNF451,26036,zinc finger protein 451,ZNF451,"COASTER, ZATT, dJ417I1.1",9606,HGNC:21091,ZNF451,ZNF451
219711_at,ZNF586,54807,zinc finger protein 586,ZNF586,,9606,HGNC:25949,ZNF586,ZNF586
219968_at,ZNF589,51385,zinc finger protein 589,ZNF589,SZF1,9606,HGNC:16747,ZNF589,ZNF589
213196_at,ZNF629,23361,zinc finger protein 629,ZNF629,"ZNF, ZNF65",9606,HGNC:29008,ZNF629,ZNF629
218068_s_at,ZNF672,79894,zinc finger protein 672,ZNF672,,9606,HGNC:26179,ZNF672,ZNF672
220661_s_at,ZNF692,55657,zinc finger protein 692,ZNF692,"AREBP, Zfp692",9606,HGNC:26049,ZNF692,ZNF692
218916_at,ZNF768,79724,zinc finger protein 768,ZNF768,,9606,HGNC:26273,ZNF768,ZNF768
204812_at,ZW10,9183,zw10 kinetochore protein,ZW10,"HZW10, KNTC1AP",9606,HGNC:13194,ZW10,ZW10
202040_s_at,JARID1A,,,KDM5A,,,,JARID1A,JARID1A
